Instance_number,time,lread,lwrite,scall,sread,swrite,Cluster
58,16:33:50,47,28,7628,430,401,cluster2
59,15:58:49,1,0,3887,172,152,cluster3
60,13:25:55,3,2,1265,102,49,cluster0
61,16:22:50,48,68,4285,202,165,cluster3
62,12:46:34,4,0,2505,108,116,cluster1
63,22:23:33,2,0,462,51,35,cluster0
64,20:30:51,0,0,1463,112,100,cluster1
65,13:54:50,25,8,5080,843,736,cluster2
66,12:22:58,43,0,3443,274,98,cluster3
67,15:45:39,5,1,1490,172,82,cluster1
68,15:27:28,1,0,1130,96,49,cluster0
69,21:13:27,3,2,267,35,30,cluster0
70,23:47:40,2,0,439,56,16,cluster0
71,14:08:31,3,0,3612,223,148,cluster3
72,11:33:57,9,2,2363,217,143,cluster1
73,12:45:44,15,1,3885,287,292,cluster3
74,21:09:22,2,1,1520,128,84,cluster1
75,13:08:39,1,0,937,145,127,cluster0
76,14:42:12,12,9,4495,473,204,cluster3
77,20:43:56,0,0,131,6,10,cluster0
78,15:08:33,5,3,943,78,46,cluster0
79,0:01:30,3,1,388,32,22,cluster0
80,12:54:54,1,0,5520,414,259,cluster2
81,1:34:06,9,0,3524,392,321,cluster3
82,18:16:34,3,2,1858,95,87,cluster1
83,17:16:17,33,43,2649,192,169,cluster1
84,23:55:30,1,1,181,14,13,cluster0
85,12:56:49,1,0,768,93,78,cluster0
86,16:11:00,23,9,1006,86,91,cluster0
87,12:37:24,12,2,2357,113,96,cluster1
88,22:41:59,1,1,335,158,40,cluster0
89,21:51:48,1,0,1054,39,43,cluster0
90,13:31:15,5,0,4236,359,245,cluster3
91,22:58:39,0,0,407,28,27,cluster0
92,19:08:50,2,1,616,73,36,cluster0
93,15:50:59,32,28,1372,193,123,cluster1
94,11:57:58,50,61,2040,189,139,cluster1
95,12:54:09,18,0,6356,739,557,cluster2
96,13:14:05,32,23,3136,277,237,cluster3
97,13:54:10,64,5,2696,317,365,cluster1
98,11:54:33,23,13,2531,199,131,cluster1
99,19:46:55,0,0,2140,80,77,cluster1
100,18:52:09,2,1,487,57,46,cluster0
101,16:45:05,11,5,3115,250,206,cluster3
102,15:47:14,137,128,1222,169,139,cluster4
103,12:29:33,7,0,3826,270,255,cluster3
104,20:27:51,1,0,2100,78,80,cluster1
105,13:50:40,3,1,3144,224,161,cluster3
106,21:40:13,0,0,1669,104,64,cluster1
107,12:29:48,8,0,3741,238,175,cluster3
108,15:38:54,4,3,1107,80,54,cluster0
109,21:46:58,19,29,4577,140,85,cluster3
110,22:31:34,4,1,720,104,58,cluster0
111,0:11:45,0,0,149,10,11,cluster0
112,12:17:48,147,122,4252,341,167,cluster4
113,14:32:52,1,1,4693,235,192,cluster3
114,14:41:22,1,0,2435,365,106,cluster1
115,22:43:29,1,1,394,208,51,cluster0
116,11:28:07,2,0,1719,278,121,cluster1
117,15:14:13,10,0,5812,701,587,cluster2
118,16:32:20,18,11,1424,242,242,cluster1
119,20:35:51,13,19,746,39,19,cluster0
120,16:03:50,25,13,3049,179,107,cluster3
121,15:33:04,3,0,926,90,67,cluster0
122,15:57:15,3,1,2125,166,78,cluster1
123,13:46:40,19,0,3154,302,120,cluster3
124,12:31:08,11,0,2113,134,90,cluster1
125,16:43:26,19,5,3409,160,130,cluster3
126,15:06:24,14,9,2005,170,93,cluster1
127,11:58:18,12,4,2194,226,165,cluster1
128,16:13:10,13,5,1129,167,99,cluster0
129,23:59:55,2,0,1328,51,34,cluster0
130,15:39:34,2,1,1125,124,78,cluster0
131,15:13:59,12,4,3870,162,96,cluster3
132,23:21:09,3,1,964,80,47,cluster0
133,13:19:40,63,78,1702,175,80,cluster4
134,21:39:38,0,0,315,31,34,cluster0
135,22:35:59,14,21,409,79,44,cluster0
136,18:55:29,29,38,287,57,48,cluster0
137,14:32:07,4,0,4970,240,125,cluster3
138,15:33:04,39,61,2039,197,115,cluster1
139,18:19:09,5,0,2155,251,237,cluster1
140,23:16:29,2,1,205,23,21,cluster0
141,17:48:23,46,62,3939,234,129,cluster3
142,1:17:36,15,21,186,11,23,cluster0
143,23:07:44,1,0,1082,89,63,cluster0
144,18:53:39,6,5,551,71,68,cluster0
145,21:43:03,1,0,461,59,38,cluster0
146,1:29:56,0,0,147,7,22,cluster0
147,17:38:48,16,1,1933,419,153,cluster1
148,21:53:43,2,0,849,36,30,cluster0
149,19:21:45,18,26,256,26,22,cluster0
150,23:35:30,18,28,281,22,19,cluster0
151,15:25:43,3,2,2520,94,67,cluster1
152,15:12:09,4,1,2289,197,140,cluster1
153,16:23:00,8,5,1361,117,81,cluster0
154,1:18:11,29,33,1025,122,116,cluster0
155,0:24:20,4,0,1267,174,156,cluster0
156,12:33:13,15,11,2198,305,171,cluster1
157,0:00:05,6,1,1987,71,43,cluster1
158,15:10:28,17,24,807,47,65,cluster0
159,23:21:14,1,0,958,117,45,cluster0
160,22:23:58,3,0,854,92,200,cluster0
161,15:46:39,37,52,2153,158,62,cluster1
162,20:07:51,30,38,546,172,99,cluster0
163,16:29:40,1,0,2542,138,98,cluster1
164,22:03:48,1,0,219,22,18,cluster0
165,15:33:59,1,0,914,71,56,cluster0
166,0:09:05,0,0,1028,34,38,cluster0
167,15:00:43,5,0,2105,156,133,cluster1
168,22:40:39,29,37,302,123,46,cluster0
169,14:02:06,0,0,3017,266,130,cluster3
170,20:21:16,17,24,917,168,61,cluster0
171,19:57:45,1,0,385,67,65,cluster0
172,11:35:52,10,2,3359,493,129,cluster3
173,11:55:23,26,13,6511,707,426,cluster2
174,16:35:26,4,0,2220,97,105,cluster1
175,12:57:14,2,0,4574,265,160,cluster3
176,16:58:21,16,13,896,72,69,cluster0
177,11:33:32,7,1,2394,334,315,cluster1
178,15:14:23,8,0,4402,569,493,cluster3
179,13:34:25,34,24,5281,696,622,cluster2
180,22:59:29,1,1,214,31,30,cluster0
181,21:20:17,6,0,1243,503,75,cluster1
182,12:17:08,52,0,4682,357,222,cluster3
183,18:37:14,1,0,1261,50,45,cluster0
184,22:39:19,1,1,385,150,50,cluster0
185,11:27:57,5,3,2167,168,103,cluster1
186,23:03:29,2,1,1228,50,51,cluster0
187,13:37:00,4,3,2051,176,124,cluster1
188,16:46:15,5,4,809,72,62,cluster0
189,12:09:48,3,1,1693,208,124,cluster1
190,16:12:15,3,0,2262,479,120,cluster1
191,11:31:07,98,113,2469,201,104,cluster4
192,14:24:58,8,2,3750,270,145,cluster3
193,23:44:20,7,0,2864,429,343,cluster3
194,11:18:16,12,2,2763,366,256,cluster1
195,20:02:26,1,0,645,120,69,cluster0
196,15:13:18,1,0,843,83,56,cluster0
197,12:19:03,44,2,4527,402,224,cluster3
198,23:32:05,4,1,548,80,85,cluster0
199,14:37:13,10,1,3895,359,194,cluster3
200,15:51:14,16,10,1984,331,224,cluster1
201,15:02:43,4,0,2006,192,91,cluster1
202,16:35:05,77,101,2680,373,289,cluster4
203,15:07:18,9,7,1681,166,106,cluster1
204,21:42:38,0,0,210,30,25,cluster0
205,17:41:08,0,0,1724,206,157,cluster1
206,16:36:00,23,18,2182,379,133,cluster1
207,11:59:13,4,3,2365,409,202,cluster1
208,11:11:21,39,58,2693,153,179,cluster1
209,16:21:15,15,6,1771,231,173,cluster1
210,15:54:24,50,12,6113,563,525,cluster2
211,22:46:19,1,0,325,62,27,cluster0
212,23:30:35,4,1,574,43,27,cluster0
213,17:44:48,7,4,2794,168,109,cluster1
214,16:30:10,23,21,2458,180,137,cluster1
215,11:55:28,22,13,6880,491,395,cluster2
216,11:37:12,4,1,3133,285,168,cluster3
217,13:17:20,72,91,1273,81,52,cluster4
218,21:57:33,2,0,1053,127,47,cluster0
219,21:33:12,1,0,400,45,49,cluster0
220,11:38:37,8,6,1627,284,263,cluster1
221,11:55:13,9,1,3561,195,184,cluster3
222,23:37:30,0,0,237,11,24,cluster0
223,22:17:33,10,1,1612,410,68,cluster1
224,18:36:39,2,0,325,44,36,cluster0
225,23:03:04,2,1,1424,149,63,cluster1
226,19:49:45,19,26,2041,433,332,cluster1
227,16:08:20,7,0,4049,261,244,cluster3
228,23:29:25,3,1,531,50,42,cluster0
229,0:05:35,0,0,168,12,14,cluster0
230,14:20:26,20,18,3442,453,196,cluster3
231,14:39:32,64,84,6784,279,244,cluster2
232,19:20:50,3,1,544,80,27,cluster0
233,12:31:58,5,0,2183,370,340,cluster1
234,16:15:30,12,9,6262,212,186,cluster2
235,17:42:33,49,55,1233,153,147,cluster0
236,23:17:34,0,0,134,10,8,cluster0
237,20:31:01,3,0,2085,179,149,cluster1
238,16:09:40,8,8,1255,100,85,cluster0
239,13:32:35,2,0,1199,76,98,cluster0
240,23:30:45,3,1,510,48,85,cluster0
241,15:53:34,8,7,1847,135,122,cluster1
242,23:51:20,3,1,694,105,29,cluster0
243,15:19:09,30,22,1967,94,74,cluster1
244,12:26:18,10,0,3430,366,152,cluster3
245,16:28:30,3,2,1740,206,162,cluster1
246,11:12:26,0,0,2416,133,90,cluster1
247,14:27:41,14,12,6140,319,203,cluster2
248,17:50:28,4,1,2009,124,104,cluster1
249,11:44:57,5,2,3209,425,330,cluster3
250,11:13:06,31,44,1768,101,69,cluster1
251,11:58:08,9,0,2561,298,88,cluster1
252,15:22:49,1,0,2259,159,130,cluster1
253,23:47:30,2,0,386,42,14,cluster0
254,18:35:04,51,76,2023,193,101,cluster4
255,15:14:58,1,0,819,73,56,cluster0
256,12:17:13,160,140,5157,419,212,cluster4
257,15:15:48,2,1,1120,60,59,cluster0
258,19:42:30,44,1,2417,283,559,cluster1
259,12:21:48,48,1,4398,245,165,cluster3
260,15:46:20,1,1,1345,223,192,cluster1
261,15:34:59,257,275,3697,642,517,cluster4
262,18:33:44,7,0,1596,148,71,cluster1
263,21:35:02,0,0,209,16,29,cluster0
264,17:25:17,20,8,2659,167,106,cluster1
265,16:35:31,50,66,2373,147,91,cluster4
266,11:11:16,3,1,1850,76,60,cluster1
267,21:06:01,2,1,322,63,44,cluster0
268,18:26:44,8,1,3410,378,177,cluster3
269,14:10:31,20,17,2003,180,105,cluster1
270,13:47:00,14,0,2491,224,152,cluster1
271,13:57:15,1,0,3347,257,153,cluster3
272,16:42:56,1,0,1743,149,150,cluster1
273,15:45:44,163,52,1891,255,246,cluster1
274,12:05:58,2,0,2306,184,135,cluster1
275,16:44:26,20,6,9388,631,503,cluster2
276,11:07:36,0,0,4182,245,145,cluster3
277,20:24:06,5,0,3511,228,205,cluster3
278,16:43:50,77,75,1569,145,87,cluster4
279,16:04:10,19,1,3124,490,345,cluster3
280,21:55:33,2,0,3583,179,119,cluster3
281,1:16:11,2,1,261,40,26,cluster0
282,18:05:23,5,2,3637,103,110,cluster3
283,16:55:06,10,5,1301,54,76,cluster0
284,23:11:34,26,34,906,74,50,cluster0
285,16:39:21,17,2,3284,239,136,cluster3
286,0:50:41,4,4,489,57,31,cluster0
287,13:19:35,2,2,614,34,31,cluster0
288,12:02:13,2,0,1860,166,100,cluster1
289,18:19:24,8,0,2956,409,371,cluster3
290,11:30:57,1,0,1430,161,174,cluster1
291,11:28:37,10,4,6601,1078,1011,cluster2
292,16:08:55,22,13,3581,211,134,cluster3
293,14:26:26,14,13,4015,329,178,cluster3
294,15:28:33,33,44,905,96,83,cluster0
295,1:30:16,0,0,132,6,9,cluster0
296,11:37:02,2,1,1536,133,110,cluster1
297,22:21:38,3,0,917,74,268,cluster0
298,1:01:26,518,8,1623,107,102,cluster1
299,19:45:50,1,0,2633,354,339,cluster1
300,14:37:23,29,19,2621,298,138,cluster1
301,17:35:43,54,40,2764,184,123,cluster1
302,12:19:53,39,0,2390,126,73,cluster1
303,20:53:56,11,15,768,74,81,cluster0
304,14:21:46,88,59,3069,319,259,cluster4
305,11:51:22,5,0,2504,329,242,cluster1
306,18:26:24,2,0,429,79,46,cluster0
307,20:27:46,1,0,2155,93,83,cluster1
308,13:29:40,7,2,1885,165,82,cluster1
309,15:56:59,1,0,1482,117,83,cluster1
310,14:37:22,0,0,3265,203,162,cluster3
311,14:25:51,20,18,4446,293,236,cluster3
312,12:28:53,78,94,3863,148,123,cluster4
313,16:23:40,13,9,709,78,99,cluster0
314,22:08:03,6,0,1455,200,188,cluster1
315,23:58:25,0,0,220,32,14,cluster0
316,18:08:24,11,8,2236,159,149,cluster1
317,20:44:06,11,1,2802,432,371,cluster1
318,21:34:42,188,213,1992,211,92,cluster4
319,16:30:25,54,69,1720,143,105,cluster1
320,12:35:19,37,49,4667,673,457,cluster2
321,16:44:06,10,1,4529,310,281,cluster3
322,14:35:07,3,0,3195,239,212,cluster3
323,1:19:31,1,1,192,12,33,cluster0
324,22:43:24,13,13,485,273,75,cluster0
325,12:03:33,4,2,1159,104,75,cluster0
326,13:18:15,11,2,2445,285,250,cluster1
327,12:54:04,25,2,3521,416,351,cluster3
328,22:50:39,2,0,346,33,20,cluster0
329,15:49:50,9,6,7811,245,195,cluster2
330,14:20:06,11,11,3545,539,270,cluster3
331,20:14:51,16,23,970,139,83,cluster0
332,23:07:34,0,0,1498,172,43,cluster1
333,16:00:04,45,55,2712,123,120,cluster1
334,15:59:44,83,81,2582,170,159,cluster4
335,17:28:18,5,0,3300,395,219,cluster3
336,20:46:26,0,0,139,13,12,cluster0
337,16:49:21,12,3,1752,135,45,cluster1
338,12:13:18,17,3,2542,176,106,cluster1
339,17:32:23,4,4,1129,238,84,cluster0
340,0:23:30,0,0,142,9,13,cluster0
341,14:59:38,1,0,3543,139,128,cluster3
342,13:30:20,16,2,1974,190,153,cluster1
343,16:40:31,5,1,3187,374,224,cluster3
344,16:56:16,54,9,3984,164,100,cluster3
345,14:26:01,17,15,3856,250,177,cluster3
346,11:53:18,208,223,4083,309,198,cluster4
347,19:34:30,7,2,3782,317,333,cluster3
348,11:14:46,0,0,4622,443,202,cluster3
349,15:37:39,5,4,837,63,51,cluster0
350,16:21:40,26,15,1558,153,121,cluster1
351,20:12:11,1,0,520,112,42,cluster0
352,15:16:48,3,0,858,139,160,cluster0
353,15:17:19,96,116,4373,231,243,cluster4
354,14:49:27,71,87,5000,470,208,cluster2
355,14:35:33,10,5,4239,479,98,cluster3
356,21:02:51,0,0,382,57,14,cluster0
357,19:46:20,0,0,1920,112,87,cluster1
358,16:29:41,55,61,3395,568,152,cluster3
359,14:39:57,5,0,5369,247,227,cluster2
360,13:36:40,8,4,2576,334,159,cluster1
361,11:10:31,8,2,2259,139,92,cluster1
362,16:30:45,27,24,1733,220,150,cluster1
363,17:24:32,25,6,4636,705,485,cluster3
364,19:46:25,0,0,1968,90,73,cluster1
365,14:21:21,141,62,3383,364,233,cluster4
366,19:13:45,1,0,1407,59,63,cluster0
367,11:57:33,11,11,1967,155,63,cluster1
368,13:32:05,1,0,1222,67,113,cluster0
369,19:25:20,1,0,2154,78,121,cluster1
370,18:11:09,24,33,2750,160,140,cluster1
371,11:33:52,8,0,1699,100,70,cluster1
372,14:08:06,74,80,2823,204,157,cluster4
373,14:33:27,0,0,2025,135,85,cluster1
374,16:31:45,42,27,1230,173,143,cluster0
375,20:40:01,0,0,267,31,43,cluster0
376,17:02:52,41,28,3198,232,175,cluster3
377,13:15:45,2,0,1539,132,116,cluster1
378,19:23:25,1,1,301,43,32,cluster0
379,11:34:37,45,55,2511,159,112,cluster1
380,0:28:46,2,1,193,15,14,cluster0
381,14:49:52,12,6,4534,378,258,cluster3
382,11:14:31,6,1,5386,561,303,cluster2
383,21:53:03,0,0,881,42,24,cluster0
384,16:45:35,45,60,1219,67,42,cluster0
385,11:42:12,30,42,1403,103,78,cluster1
386,19:36:10,0,0,2173,89,119,cluster1
387,18:50:09,2,0,1680,400,299,cluster1
388,15:40:29,0,0,2734,175,146,cluster1
389,21:43:13,1,0,326,37,32,cluster0
390,20:26:06,6,0,1464,85,50,cluster1
391,15:44:49,6,4,1627,148,69,cluster1
392,11:42:17,3,0,2437,231,124,cluster1
393,16:06:30,18,10,1650,101,85,cluster1
394,21:16:02,20,26,401,38,34,cluster0
395,22:34:29,7,2,1948,302,236,cluster1
396,16:27:50,9,7,1530,247,135,cluster1
397,15:47:10,3,2,1721,202,219,cluster1
398,1:15:26,2,1,170,10,22,cluster0
399,14:31:42,14,11,3911,205,162,cluster3
400,16:12:10,4,0,1525,255,166,cluster1
401,12:03:43,4,3,3045,230,162,cluster3
402,13:22:25,1,0,1448,150,127,cluster1
403,16:41:30,42,49,3354,168,110,cluster3
404,15:52:34,18,6,1590,105,91,cluster1
405,23:11:49,5,2,447,59,42,cluster0
406,13:33:50,3,0,2071,226,253,cluster1
407,14:10:11,22,19,3515,293,190,cluster3
408,14:42:03,34,11,6742,280,189,cluster2
409,20:43:41,0,0,305,95,22,cluster0
410,12:04:18,4,1,3913,176,129,cluster3
411,17:26:47,74,92,2780,280,164,cluster4
412,16:48:35,10,7,2489,174,104,cluster1
413,14:59:18,0,0,1899,193,148,cluster1
414,13:31:45,5,0,1928,215,140,cluster1
415,12:49:09,11,7,3648,139,143,cluster3
416,18:27:54,2,0,326,55,42,cluster0
417,15:41:19,3,0,845,73,59,cluster0
418,18:33:14,3,1,3384,544,386,cluster3
419,17:43:53,18,16,1828,238,179,cluster1
420,12:52:04,3,1,2265,189,112,cluster1
421,14:51:48,80,48,7544,1096,297,cluster2
422,23:32:25,3,1,487,46,41,cluster0
423,15:52:19,4,1,2196,145,113,cluster1
424,21:05:41,2,1,333,52,36,cluster0
425,18:30:44,1,0,959,93,35,cluster0
426,21:15:42,1,1,444,53,45,cluster0
427,23:06:19,26,39,219,15,17,cluster0
428,23:48:25,4,1,572,74,30,cluster0
429,11:55:48,21,14,4435,375,232,cluster3
430,14:40:07,54,70,4607,209,193,cluster3
431,12:27:33,11,2,4116,573,357,cluster3
432,16:20:15,8,7,1608,79,67,cluster1
433,13:51:10,29,43,985,111,87,cluster0
434,21:00:11,3,0,3471,187,95,cluster3
435,11:37:42,3,3,2041,162,111,cluster1
436,12:48:39,1,0,8840,492,321,cluster2
437,18:10:44,14,6,2113,102,91,cluster1
438,23:50:25,4,1,444,44,19,cluster0
439,14:04:01,70,78,3840,447,172,cluster4
440,1:32:56,0,0,1201,65,61,cluster0
441,15:40:29,106,98,4116,234,194,cluster4
442,14:09:56,27,21,4340,154,109,cluster3
443,13:34:30,8,1,4276,516,445,cluster3
444,22:25:53,32,31,603,76,64,cluster0
445,14:11:41,2,0,4798,316,251,cluster3
446,14:26:18,20,17,4119,280,171,cluster3
447,13:24:00,1,1,1563,91,74,cluster1
448,11:13:41,37,47,3209,204,81,cluster3
449,15:24:23,190,36,5134,711,631,cluster2
450,16:09:30,12,12,4098,138,141,cluster3
451,14:29:46,12,11,4904,189,184,cluster3
452,14:13:56,55,80,2565,212,223,cluster4
453,14:47:42,53,64,3918,636,168,cluster3
454,0:51:51,6,1,504,80,34,cluster0
455,11:50:22,189,205,3091,345,158,cluster4
456,15:47:24,7,5,719,88,96,cluster0
457,0:18:40,15,22,160,16,13,cluster0
458,12:01:28,187,207,2510,354,209,cluster4
459,11:56:43,22,14,1856,110,92,cluster1
460,11:49:57,5,2,3292,284,132,cluster3
461,17:16:32,3,0,1752,151,80,cluster1
462,12:42:04,10,1,1849,166,171,cluster1
463,13:54:55,19,9,4082,666,553,cluster3
464,13:18:25,4,0,1723,81,55,cluster1
465,15:50:44,62,79,1022,113,81,cluster0
466,18:46:29,5,3,838,71,56,cluster0
467,16:42:21,10,6,4041,116,99,cluster3
468,15:33:39,5,3,1065,102,86,cluster0
469,15:03:49,28,22,2586,195,128,cluster1
470,18:53:49,2,1,764,132,78,cluster0
471,22:57:29,0,0,162,20,19,cluster0
472,20:13:16,0,0,341,90,49,cluster0
473,15:30:44,42,51,3543,214,172,cluster3
474,15:50:14,22,19,924,96,70,cluster0
475,19:24:05,29,30,2678,222,206,cluster1
476,18:43:44,0,0,615,40,24,cluster0
477,11:49:52,3,0,2363,343,161,cluster1
478,14:54:43,72,79,3435,381,410,cluster4
479,12:24:18,23,6,7129,691,516,cluster2
480,22:39:14,1,1,419,164,44,cluster0
481,14:32:08,4,1,3390,196,118,cluster3
482,23:46:40,2,0,432,43,19,cluster0
483,0:43:21,2,1,205,15,14,cluster0
484,0:32:26,2,1,310,52,22,cluster0
485,23:55:20,34,47,174,13,10,cluster0
486,20:13:56,0,0,1022,224,68,cluster0
487,15:02:53,34,48,1078,141,122,cluster0
488,15:58:54,46,66,3275,115,108,cluster4
489,16:06:35,5,4,1972,264,136,cluster1
490,14:39:42,58,38,6469,314,340,cluster2
491,13:21:10,4,1,1245,115,82,cluster0
492,13:26:50,7,0,1296,150,46,cluster0
493,14:00:20,4,1,2922,182,235,cluster1
494,13:43:55,10,9,1339,81,74,cluster0
495,16:43:20,23,12,1673,145,117,cluster1
496,21:52:18,2,0,317,40,23,cluster0
497,12:46:14,5,0,2436,187,159,cluster1
498,14:50:52,4,2,5139,461,382,cluster2
499,0:49:41,1,1,263,25,43,cluster0
500,17:24:02,32,10,2843,330,185,cluster1
501,11:09:56,1,0,4813,428,200,cluster3
502,15:25:48,5,0,3744,172,117,cluster3
503,18:12:54,47,65,2181,78,86,cluster1
504,16:01:30,9,4,1632,313,151,cluster1
505,1:17:46,0,0,179,10,30,cluster0
506,12:37:44,7,0,3155,427,411,cluster3
507,19:35:30,2,0,2040,230,91,cluster1
508,23:57:55,4,0,893,192,43,cluster0
509,0:10:45,0,0,1606,60,68,cluster1
510,11:20:42,97,110,1371,227,170,cluster4
511,22:05:23,2,1,356,40,47,cluster0
512,0:31:41,2,1,243,27,28,cluster0
513,12:35:14,7,0,4116,477,424,cluster3
514,15:42:59,0,0,1599,132,56,cluster1
515,15:06:38,1,0,2912,247,145,cluster1
516,14:58:43,26,7,6351,373,266,cluster2
517,11:18:31,16,10,2937,369,199,cluster3
518,12:01:53,19,14,2843,245,183,cluster1
519,13:04:59,4,1,1310,114,123,cluster0
520,16:17:35,43,56,1826,118,95,cluster1
521,19:36:40,1,1,2444,91,152,cluster1
522,21:50:58,1,0,1343,154,131,cluster0
523,1:01:36,753,22,2350,146,111,cluster4
524,16:45:55,7,6,1844,103,73,cluster1
525,14:41:57,9,2,4860,476,164,cluster3
526,17:43:28,80,48,2115,100,118,cluster1
527,21:59:23,2,0,384,61,61,cluster0
528,15:56:00,0,0,2139,139,117,cluster1
529,15:24:44,13,3,4229,615,463,cluster3
530,12:40:04,5,0,1590,75,62,cluster1
531,11:30:17,17,2,2349,344,125,cluster1
532,12:45:24,11,1,3310,334,243,cluster3
533,15:32:49,1,0,2264,148,95,cluster1
534,14:16:21,21,10,3047,445,208,cluster3
535,14:23:51,68,84,5676,656,172,cluster2
536,18:46:59,1,0,587,75,39,cluster0
537,15:00:48,1,0,1320,97,76,cluster0
538,13:17:50,2,0,1722,132,77,cluster1
539,22:29:04,2,0,667,85,37,cluster0
540,13:01:59,912,13,3457,204,175,cluster4
541,12:29:58,13,2,4011,235,173,cluster3
542,23:16:59,1,1,159,12,10,cluster0
543,20:40:36,1,0,345,47,41,cluster0
544,18:06:38,6,1,2170,101,79,cluster1
545,0:46:26,0,0,1228,57,72,cluster0
546,15:40:14,2,0,4178,252,175,cluster3
547,22:11:03,2,0,1850,259,163,cluster1
548,16:12:10,72,91,1320,101,51,cluster4
549,19:37:00,3,1,2518,121,165,cluster1
550,14:28:11,27,18,6449,492,299,cluster2
551,21:46:18,0,0,1743,123,72,cluster1
552,23:53:25,1,0,420,28,58,cluster0
553,1:16:16,0,0,339,49,10,cluster0
554,18:17:59,8,1,1652,93,90,cluster1
555,14:28:16,19,12,7284,506,321,cluster2
556,14:31:07,13,9,4732,422,127,cluster3
557,22:24:03,6,0,2446,166,668,cluster1
558,16:37:40,21,18,1395,358,140,cluster1
559,17:18:42,18,13,4270,395,191,cluster3
560,18:44:04,9,0,3153,274,209,cluster3
561,17:44:18,51,61,3761,539,395,cluster3
562,0:44:11,12,1,3163,474,414,cluster3
563,22:59:34,1,1,470,48,35,cluster0
564,17:41:38,10,0,1032,252,100,cluster0
565,11:19:37,11,6,1582,174,138,cluster1
566,13:56:40,5,0,1950,448,175,cluster1
567,15:23:04,4,1,1882,86,82,cluster1
568,18:37:49,3,0,1876,188,110,cluster1
569,13:02:24,7,5,2153,134,140,cluster1
570,17:54:43,18,2,2669,188,168,cluster1
571,11:22:37,7,2,2570,277,119,cluster1
572,14:43:52,1,0,2112,109,89,cluster1
573,14:15:46,11,8,2953,283,188,cluster3
574,16:42:06,8,5,2119,175,110,cluster1
575,23:33:45,15,20,413,38,23,cluster0
576,19:58:56,1,0,322,40,32,cluster0
577,12:10:08,4,0,2107,142,86,cluster1
578,14:58:48,39,55,1791,133,82,cluster1
579,13:36:30,0,0,1106,66,98,cluster0
580,16:55:51,12,3,1615,168,101,cluster1
581,13:02:34,5,1,801,118,125,cluster0
582,16:11:15,10,3,3689,152,80,cluster3
583,13:17:00,3,2,1232,50,40,cluster0
584,13:36:20,4,3,1500,100,104,cluster1
585,16:16:40,10,9,1075,80,66,cluster0
